function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.051,5476010.667,nan,1,0,0,nmap,40,1.000,159.394,160841898.667,nan,2,0,2779712533,env,60,1.000,4.707,10320554.667,nan,2,0,9818793,35.267,209.917,4816613376.000,4999172096.000,40.509,41.558,nan,nan,25,0
figlet,0,1.000,0.075,5424469.333,nan,1,0,0,nmap,40,1.000,155.311,49124181.333,nan,1,0,228327566,env,60,1.000,4.522,10268842.667,nan,1,0,8984849,35.667,208.867,4802238464.000,4813566464.000,40.173,40.239,nan,nan,70,0
figlet,0,1.000,0.044,5377072.762,nan,1,0,0,nmap,40,1.000,148.105,153340620.800,nan,2,0,2509995889,env,60,1.000,5.232,10463505.067,nan,2,0,9278280,34.867,203.900,4801146880.000,4943660544.000,40.169,41.021,nan,nan,30,0
figlet,0,1.000,0.043,5482154.667,nan,1,0,0,nmap,40,1.000,153.383,209649834.667,nan,2,0,3873329388,env,80,1.000,6.285,10338645.333,nan,2,0,9055886,36.533,213.433,4800024576.000,5010242048.000,40.166,41.423,nan,nan,70,0
figlet,0,1.000,0.046,5459797.333,nan,1,0,0,nmap,40,1.000,150.000,3394901.333,nan,2,0,1430410100,env,80,1.000,5.916,10342058.667,nan,2,0,9071592,33.867,210.950,4852666368.000,4932861440.000,40.475,40.954,nan,nan,70,0
figlet,0,1.000,0.045,5484202.667,nan,1,0,0,nmap,40,1.000,160.975,182056960.000,nan,2,0,2601804369,env,80,1.000,6.290,10205354.667,nan,2,0,9363258,32.067,188.917,4861980672.000,5017971712.000,40.534,41.466,nan,nan,30,0
figlet,0,1.000,0.046,5423104.000,nan,1,0,0,nmap,40,1.000,158.268,270797994.667,nan,2,0,4389844873,env,100,1.000,8.280,3198976.000,nan,2,0,10047261,35.867,195.003,4873912320.000,5057298944.000,40.578,41.672,nan,nan,25,0
figlet,0,1.000,0.049,5485909.333,nan,1,0,0,nmap,40,1.000,148.366,208988160.000,nan,2,0,4029348281,env,100,1.000,7.822,10411861.333,nan,2,0,9427816,35.467,189.283,4735268864.000,4901401088.000,39.705,40.705,nan,nan,85,0
figlet,0,1.000,0.052,5514922.667,nan,1,0,0,nmap,40,1.000,151.375,2957312.000,nan,2,0,3594968962,env,100,1.000,7.668,10537301.333,nan,2,0,9852405,36.333,190.867,4832786432.000,4994034176.000,40.330,41.291,nan,nan,40,0
figlet,0,1.000,0.042,5398528.000,nan,1,0,0,nmap,40,1.000,162.684,6788027.733,nan,2,0,4070469208,env,120,1.000,9.342,10532181.333,nan,2,0,9582567,36.067,196.950,4842827776.000,5048127488.000,40.396,41.618,nan,nan,25,0
