function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,2.932,2763093.333,nan,2,0,7736767,nmap,0,1.000,0.065,10244437.333,nan,1,0,0,env,20,1.000,2.301,2766592.000,nan,2,0,6616820,40.133,58.283,7449479168.000,7448291840.000,88.034,88.010,nan,nan,40,0
figlet,20,1.000,3.482,2265088.000,nan,2,0,9945222,nmap,0,1.000,0.063,10402133.333,nan,1,0,0,env,40,1.000,4.579,4202496.000,nan,2,0,7122913,40.800,63.117,7472130048.000,7465670144.000,88.298,88.213,nan,nan,45,0
figlet,20,1.000,3.272,4496315.733,nan,1,0,7319430,nmap,0,1.000,0.073,11528533.333,nan,1,0,0,env,40,1.000,4.496,4383266.133,nan,1,0,5855521,41.933,62.617,7471370240.000,7472080896.000,88.272,88.279,nan,nan,30,0
figlet,20,1.000,2.892,14745770.667,nan,2,0,8615530,nmap,0,1.000,0.057,11878400.000,nan,1,0,0,env,40,1.000,4.070,2510848.000,nan,2,0,7545011,40.467,65.640,7478392832.000,7471598592.000,88.356,88.269,nan,nan,40,0
figlet,20,1.000,3.419,2580480.000,nan,2,0,8160827,nmap,0,1.000,0.054,10077305.905,nan,1,0,0,env,60,1.000,6.785,5573341.867,nan,2,0,6292896,41.600,70.500,7483797504.000,7483509248.000,88.414,88.408,nan,nan,30,0
figlet,20,1.000,3.215,14714709.333,nan,1,0,7715936,nmap,0,1.000,0.058,9772373.333,nan,1,0,0,env,60,1.000,6.754,16626005.333,nan,1,0,6310949,36.733,61.900,7466326016.000,7462754304.000,88.178,88.135,nan,nan,90,0
figlet,20,1.000,3.022,14696618.667,nan,1,0,7487828,nmap,0,1.000,0.084,9907200.000,nan,1,0,0,env,60,1.000,6.517,2781184.000,nan,1,0,6012582,38.533,61.900,7455473664.000,7454753792.000,88.045,88.036,nan,nan,75,0
figlet,20,1.000,2.938,2832384.000,nan,2,0,9715581,nmap,0,1.000,0.058,9975296.000,nan,1,0,0,env,80,1.000,7.786,2858959.238,nan,2,0,7436475,38.600,74.167,7489931264.000,7485165568.000,88.486,88.415,nan,nan,40,0
figlet,20,1.000,3.265,3724663.467,nan,2,0,10989589,nmap,0,1.000,0.057,10056192.000,nan,1,0,0,env,80,1.000,8.021,4185361.067,nan,2,0,9256745,40.467,73.800,7494998016.000,7499843072.000,88.528,88.584,nan,nan,30,0
figlet,20,1.000,3.182,14820864.000,nan,1,0,9509770,nmap,0,1.000,0.066,10032128.000,nan,1,0,0,env,80,1.000,8.117,16709154.133,nan,2,0,7668030,40.333,73.183,7489316864.000,7491828224.000,88.455,88.485,nan,nan,30,0
